_id,Date,Time,BODY,COVER,12T NB,12T WB,26T,28T,LPM,WP1,BP1,BP2,Noise,Box No,Insertion Date,Insertion Time
66ae4b0ec01a3688296bac3f,NA,NA,2406127,C0624126,2F24,2F24,2D24,2E24,NA,NA,NA,NA,NA,1,2024-08-03,20:51:50.152033
66ae4b0ec01a3688296bac40,NA,NA,24061691,C0624055,2E24,2E24,2D24,2E24,NA,NA,NA,NA,NA,2,2024-08-03,20:51:50.152033
66ae4b0ec01a3688296bac41,NA,NA,2406042,C0624076,2F24,2E24,2D24,2E24,NA,NA,NA,NA,NA,3,2024-08-03,20:51:50.152033
66ae4b0ec01a3688296bac42,NA,NA,2406015,C0624001,2E24,2E24,2D24,2E24,NA,NA,NA,NA,NA,4,2024-08-03,20:51:50.152033
66ae4b0ec01a3688296bac43,NA,NA,24061612,C0624030,2E24,2E24,2D24,2E24,NA,NA,NA,NA,NA,5,2024-08-03,20:51:50.152033
66ae4b0ec01a3688296bac44,NA,NA,2406065,C0624009,2E24,2E24,2D24,2E24,NA,NA,NA,NA,NA,6,2024-08-03,20:51:50.152033
66ae4b0ec01a3688296bac45,NA,NA,2406089,C0624077,2E24,2E24,2D24,2E24,NA,NA,NA,NA,NA,7,2024-08-03,20:51:50.152033
66ae4b0ec01a3688296bac46,NA,NA,2406073,C 0524082,2E24,2E24,2D24,2E24,NA,NA,NA,NA,NA,8,2024-08-03,20:51:50.152033
66ae4b0ec01a3688296bac47,NA,NA,2406036,C 0624129,2E24,2E24,2D24,2E24,NA,NA,NA,NA,NA,9,2024-08-03,20:51:50.152033
66ae4b0ec01a3688296bac48,NA,NA,2406145,C 0424079,2E24,2E24,2D24,2E24,NA,NA,NA,NA,NA,10,2024-08-03,20:51:50.152033
66ae4b0ec01a3688296bac49,NA,NA,2406146,C0624126,2F24,2F24,2D24,2E24,NA,NA,NA,NA,NA,11,2024-08-03,20:51:50.152033
66ae4b0ec01a3688296bac4a,NA,NA,24061463,C0624055,2E24,2E24,2D24,2E24,NA,NA,NA,NA,NA,12,2024-08-03,20:51:50.152033
66ae4b0ec01a3688296bac4b,NA,NA,2406147,C0624076,2F24,2E24,2D24,2E24,NA,NA,NA,NA,NA,13,2024-08-03,20:51:50.152033
66ae4b0ec01a3688296bac4c,NA,NA,2406148,C0624001,2E24,2E24,2D24,2E24,NA,NA,NA,NA,NA,14,2024-08-03,20:51:50.152033
66ae4b0ec01a3688296bac4d,NA,NA,2406149,C0624030,2E24,2E24,2D24,2E24,NA,NA,NA,NA,NA,15,2024-08-03,20:51:50.152033
66ae4b0ec01a3688296bac4e,NA,NA,2406150,C0624009,2E24,2E24,2D24,2E24,NA,NA,NA,NA,NA,16,2024-08-03,20:51:50.152033
66ae4b0ec01a3688296bac4f,NA,NA,2406151,C0624077,2E24,2E24,2D24,2E24,NA,NA,NA,NA,NA,17,2024-08-03,20:51:50.152033
66ae4b0ec01a3688296bac50,NA,NA,2406152,C 0524082,2E24,2E24,2D24,2E24,NA,NA,NA,NA,NA,18,2024-08-03,20:51:50.152033
66ae4b0ec01a3688296bac51,NA,NA,2406153,C 0624129,2E24,2E24,2D24,2E24,NA,NA,NA,NA,NA,19,2024-08-03,20:51:50.152033
66ae4b0ec01a3688296bac52,NA,NA,2406154,C 0424079,2E24,2E24,2D24,2E24,NA,NA,NA,NA,NA,20,2024-08-03,20:51:50.152033
66ae4b0ec01a3688296bac53,NA,NA,2406155,C0624126,2F24,2F24,2D24,2E24,NA,NA,NA,NA,NA,21,2024-08-03,20:51:50.152033
66ae4b0ec01a3688296bac54,NA,NA,2406156,C0624055,2E24,2E24,2D24,2E24,NA,NA,NA,NA,NA,22,2024-08-03,20:51:50.152033
66ae4b0ec01a3688296bac56,NA,NA,2406158,C0624001,2E24,2E24,2D24,2E24,NA,NA,NA,NA,NA,24,2024-08-03,20:51:50.152033
66ae4b0ec01a3688296bac57,NA,NA,2406159,C0624030,2E24,2E24,2D24,2E24,NA,NA,NA,NA,NA,25,2024-08-03,20:51:50.152033
